,positionName,companyShortName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,city,district,salary,salaryMonth,workYear,jobNature,education,positionAdvantage,latitude,longitude,neededSkills
9,数据分析师,东莞美宜佳,500-2000人,其他,不需要融资,"['带薪年假', '提供住宿', '员工餐厅', '专项奖金']",产品|需求|项目类,产品经理,数据分析师,广州,天河区,6k-10k,0,1-3年,全职,大专,福利待遇好，带薪年假,23.125401,113.401953,"['数据分析', 'SQL']"
10,数据分析师,联通大数据,150-500人,数据服务,不需要融资,[],产品|需求|项目类,数据分析,数据分析,北京,东城区,15k-20k,0,3-5年,全职,不限,五险一金 各种福利补贴,39.952516,116.419344,"['DBA', 'SPSS', '数据运营', '数据分析']"
11,数据分析师,华云中盛,500-2000人,"数据服务,移动互联网",不需要融资,"['绩效奖金', '带薪年假', '通讯津贴', '定期体检']",产品|需求|项目类,产品经理,数据分析师,深圳,南山区,14k-20k,0,3-5年,全职,本科,带薪年假，定期体检，技术大牛。,22.545362,113.937732,"['python', 'sql', '数据分析']"
12,数据分析师,永安在线,150-500人,信息安全,B轮,"['带薪年假', '股票期权', '绩效奖金', '扁平管理']",产品|需求|项目类,产品经理,数据分析师,深圳,南山区,15k-25k,0,1-3年,全职,本科,丰厚奖金、年度调薪、免费健身、年度体检,22.545669,113.946011,"['数据开发', '数据分析', '数据挖掘']"
13,数据分析师,中佳兴证,15-50人,数据服务,未融资,[],金融类,证券|基金|信托|期货,证券分析师,成都,锦江区,9k-10k,0,1-3年,全职,本科,节假日周末双休，不加班，不加班,30.659006,104.070326,"['证券/期货', '股票', '期货', '证券', '外汇', '投资/融资']"
14,数据分析师,数位科技,150-500人,企业服务,B轮,"['大数据弄潮儿', '大牛云集', '高并发', '14薪起']",产品|需求|项目类,数据分析,数据分析,深圳,南山区,18k-35k,0,3-5年,全职,本科,大牛团队 办公环境好,22.516477,113.945196,"['商业', '数据分析']"
0,数据分析师,闪送,500-2000人,移动互联网,D轮及以上,"['股票期权', '岗位晋升', '五险一金', '高速成长']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,15k-25k,15,1-3年,全职,本科,互联网平台 发展前景,40.043285,116.305849,"['用户分析', '数据分析']"
1,数据分析,完美世界,2000人以上,"移动互联网,游戏",上市公司,"['绩效奖金', '五险一金', '带薪年假', '年度旅游']",产品|需求|项目类,数据分析,数据分析,北京,朝阳区,15k-20k,0,不限,全职,本科,六险一金；免费健身房；周末双休；公司食堂；,40.003347,116.423242,"['Excel', 'Tableau', '大数据', 'SQL']"
2,数据分析师,土豆雅思,150-500人,教育,A轮,"['午餐补助', '带薪年假', '绩效奖金', '节日礼物']",产品|需求|项目类,数据分析,数据分析,北京,朝阳区,12k-20k,0,1-3年,全职,本科,"平台好,领导好,扁平化,福利好",40.021082,116.465953,['数据分析']
3,数据分析,讯汇科技,150-500人,"移动互联网,社交",不需要融资,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",开发|测试|运维类,数据开发,数据分析,广州,天河区,7k-12k,0,3-5年,全职,本科,五险一金 周末双休 年终奖金 扁平管理,23.120030,113.327728,"['数据架构', '数据分析']"
4,数据分析师,北京中经惠众科技有限公司,150-500人,"金融,企业服务",不需要融资,[],产品|需求|项目类,产品经理,数据分析师,成都,武侯区,20k-25k,0,5-10年,全职,本科,大数据平台 晋升空间 扁平管理 五险一金,30.581234,104.063214,"['数据', '大数据', '数据分析']"
5,数据分析师,花生日记,150-500人,"电商,消费生活",B轮,[],产品|需求|项目类,数据分析,数据分析,广州,海珠区,10k-15k,0,3-5年,全职,本科,"大数据平台,千万级用户,精英团队,知识分",23.101343,113.384824,"['社交', '数据分析', '电商', 'SPSS', 'BI', 'SQL']"
6,数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",运营/编辑/客服,运营,内容,西安,莲湖区,4k-7k,0,1-3年,全职,本科,六险一金，弹性工作，餐补，租房补贴，带薪休假，休闲下午茶，扁平管理，团队氛围好,34.267258,108.946404,['数据分析']
7,数据分析,字节跳动,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,数据分析,太原,小店区,7k-14k,0,3-5年,全职,本科,"六险一金,团队氛围好,晋升空间大",37.796590,112.545526,"['运营', '数据分析']"
8,数据分析师,纵游互娱,50-150人,游戏,未融资,[],产品|需求|项目类,产品经理,数据分析师,广州,天河区,8k-13k,13,1-3年,全职,大专,晋升空间大，年轻团队,23.125239,113.377014,"['竞品分析', '需求分析', '数据分析']"
9,数据分析,最右,500-2000人,文娱丨内容,D轮及以上,"['技能培训', '连续创业团队', '年度旅游', '扁平管理']",开发|测试|运维类,数据开发,数据分析,北京,海淀区,15k-30k,0,1-3年,全职,本科,"高薪高股,六险一金,提供三餐,房补",39.980092,116.368056,"['大数据', '数据分析', '数据挖掘']"
10,数据分析师,有品 PICOOC,50-150人,移动互联网,C轮,"['股票期权', '绩效奖金', '带薪年假', '扁平管理']",开发|测试|运维类,数据开发,数据分析,深圳,南山区,10k-20k,0,3-5年,全职,本科,双休 大牛多,22.491697,113.915440,"['智能硬件', '电商', '数据分析']"
11,数据分析师,火币网,2000人以上,金融,不需要融资,"['红杉资本', '实现跨境支付', '优秀指导人', '自由货币']",产品|需求|项目类,产品经理,数据分析师,深圳,南山区,10k-20k,13,不限,全职,本科,餐补 交通补贴 五险一金 商业保险,22.542797,113.951610,"['金融', '数据分析']"
12,数据分析师,闪送,500-2000人,移动互联网,D轮及以上,"['股票期权', '岗位晋升', '五险一金', '高速成长']",产品|需求|项目类,产品经理,数据分析师,北京,海淀区,18k-25k,15,3-5年,全职,本科,工作氛围好 发挥空间大 带薪年假,40.043285,116.305849,"['tableau', '数据支持', '数据分析', 'SQL']"
